Test Sponsor,System Name,Paralled,Base Threads,Base Results,Peak Results
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.40 GHz, Intel Xeon Silver 4210R)",Yes,20,20,2
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.40 GHz, Intel Xeon Silver 4214R)",Yes,24,24,2
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Gold 6238R)",Yes,56,56,2
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Gold 5220R)",Yes,48,48,2
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz, Intel Xeon Gold 6230R)",Yes,52,52,2
ASUSTeK Computer Inc.,"ASUS ESC4000A-E10(KRPG-U8) Server System 2.60 GHz, AMD EPYC 7H12",Yes,64,64,1
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.20 GHz, Intel Xeon Silver 4215R)",Yes,32,16,2
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.00 GHz, Intel Xeon Gold 6248R)",Yes,48,48,2
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz, Intel Xeon Gold 5218R)",Yes,40,40,2
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.90 GHz, Intel Xeon Gold 6226R)",Yes,32,32,2
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.10 GHz, Intel Xeon Gold 6242R)",Yes,40,40,2
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.30 GHz, AMD EPYC 7642",Yes,48,48,1
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.35 GHz, AMD EPYC 7452",Yes,32,32,1
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.40 GHz, AMD EPYC 7532",Yes,32,32,1
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (3.90 GHz, Intel Xeon Gold 6250)",Yes,32,16,2
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (2.70 GHz, Intel Xeon Gold 6258R)",Yes,56,56,2
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (3.00 GHz, Intel Xeon Gold 6248R)",Yes,48,48,2
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (1.90 GHz, Intel Xeon Bronze 3206R)",Yes,16,16,2
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (2.40 GHz, Intel Xeon Silver 4210R)",Yes,20,20,2
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (2.40 GHz, Intel Xeon Gold 6240R)",Yes,48,48,2
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (3.40 GHz, Intel Xeon Gold 6246R)",Yes,32,32,2
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (3.60 GHz, Intel Xeon Gold 6256)",Yes,24,24,2
ASUSTeK Computer Inc.,"ASUS RS720-E9(Z11PP-D24) Server System (2.20 GHz, Intel Xeon Gold 6238R)",Yes,56,56,2
ASUSTeK Computer Inc.,"ASUS RS700A-E11(KMPP-D32) Server System 2.45 GHz, AMD EPYC 7763",Yes,64,64,1
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.45 GHz, AMD EPYC 7763",Yes,128,128,2
ASUSTeK Computer Inc.,"ASUS RS720A-E11(KMPP-D32) Server System 2.00 GHz, AMD EPYC 7713",Yes,128,128,2
